english as a foreign language,30,SEAM+,"7-8, 9-12, noK12",,,,,,,,6,,,,,,,,,,,
chemistry,21,STEM,"K-3, 7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
reading,20,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
biology,19,STEM+,"4-6, 7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
mathematics,18,STEAM+,"4-6, 7-8, 9-12, noK12",,,1,,,,,,7,,,,,12,,,,,
english as a second language,18,A+,"7-8, 9-12, noK12",,,,,,,,6,,,,,,,,,,,
science,18,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,2,,,,,,8,,,,,13,,,,
math,18,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,1,,,,,,7,,,,,12,,,,,
physics,17,STEM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
english language,17,STEAM+,"7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
language,17,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
technology,17,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,5,,,,,,11,,,,,16,
writing,16,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
technology integration,16,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
esl,14,STAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,,6,,,,,,,,,,,
teacher training,13,STAM+,noK12,,,,,,,,,,,,,,,,,,,
literature,13,TA+,"4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
maths,12,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,1,,,,,,7,,,,,12,,,,,
inquiry,11,STEAM+,"K-3, 4-6, 7-8",,,,,,,,,,,,,,,,,,,
biochemistry,11,ST+,"9-12, noK12",,,,2,,,,,,,,,,,,,,,
engineering,10,STEAM+,"K-3, 7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
programming,9,STEM+,"K-3, 7-8, 9-12, noK12",,,,,,,5,,,,,,11,,,,,16,
critical thinking,9,STEAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
education,9,STAM+,"K-3, noK12",,,,,,,,,,,,,,,,,,,
literacy,8,STEAM+,"4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
science biology physics chemistry environmental science,8,STM+,"4-6, 7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
english languaje,8,STA+,"4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
robotics,8,STEAM,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,5,,,,,,11,,,,,16,
linguistics,8,STEA+,noK12,,,,,,4,,,,,,10,,,,,15,,
assessment,8,STEAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
innovation,7,STA+,"9-12, noK12",,,,,,,,,,,,,,,,,,,
special education,7,STEAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
psychology,7,STEM+,"7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
algebra,7,STM+,"4-6, 7-8, 9-12, noK12, 1-3",,,,,,,,,7,,,,,,,,,,
educational technology,7,T+,"9-12, noK12",,,,,,,5,,,,,,11,,,,,16,
english,7,STAM+,"4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
communicative methods,7,STAM+,"K-3, 4-6, 7-8, 9-12",,,,,,4,,,,,,10,,,,,15,,
primary science,7,STEAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
design,7,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,3,,,,,,9,,,,,,,,
art,7,STAM+,"K-3, 9-12, noK12",,,,,3,,,,,,9,,,,,,,,
learning skills,7,STEA+,noK12,,,,,,,,,,,,,,,,,,,
college prep,7,STM+,"9-12, noK12",,,,,,,,,,,,,,,,,,,
information technology,6,STEAM+,noK12,,,,,,,5,,,,,,11,,,,,16,
geometry,6,STM,"4-6, 7-8, 9-12, 1-3",,,1,,,,,,7,,,,,,,,,,
medicine,6,ST+,"9-12, noK12",,,,2,,,,,,,,,,,,,,,
primary math,6,STEAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,12,,,,,
language arts,6,STEAM+,"K-3, 4-6, noK12",,,,,,4,,,,,,10,,,,,15,,
computer assisted language learning,6,TAM+,"9-12, noK12",,,,,,,,6,,,,,,,,,,,
primary years programme,6,STAM+,"K-3, 7-8",,,,,,,,,,,,,,,,,,,
teacher training education active methods pbl creativity innovation collaborative learning,6,STA+,noK12,,,,,,,,,,,,,,,,,,,
biotechnology,6,S,"7-8, 9-12, noK12",,,,2,,,,,,,,,,,,,,,
history,6,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
foreign language,6,A+,"9-12, noK12",,,,,,,,6,,,,,,,,,,,
computer science,6,STEM+,"K-3, 4-6, 7-8, 9-12",,,,,,,5,,,,,,11,,,,,16,
online teaching,5,STE+,noK12,,,,,,,,,,,,,,,,,,,
music,5,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,3,,,,,,9,,,,,14,,,
media literacy,5,STAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,5,,,,,,11,,,,,16,
statistics,5,STEM,"9-12, noK12",,,1,,,,,,7,,,,,12,,,,,
physiology,5,S+,"7-8, 9-12, noK12",,,,2,,,,,,8,,,,,13,,,,
chemical calculations,5,SEM,12-Sep,,,,2,,,,,,,,,,,,,,,
kindergarten,5,STEAM+,"K-3, 4-6, noK12",,,,,,,,,,,,,,,,,,,
high school,5,STM+,"9-12, noK12",,,,,,,,,,,,,,,,,,,
active learning,5,TA+,noK12,,,,,,,,,,,,,,,,,,,
research,5,STA+,"7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
elementary,5,STEAM+,"K-3, 4-6",,,,,,,,,,,,,,,,,,,
philosophy,5,SAM+,"7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
electronics,5,STEAM,"K-3, 4-6, 7-8, 9-12",,,,,,,5,,,,,,11,,,,,16,
environment,5,STEAM,"K-3, 4-6, 7-8, 9-12, noK12, 1-3",,,,2,,,,,,8,,,,,13,,,,
management,5,SM+,noK12,,,,,,,,,,,,,,,,,,,
evolution,5,STE+,"9-12, noK12",,,,2,,,,,,8,,,,,13,,,,
chemical reactions,5,SEM,12-Sep,,,,2,,,,,,,,,,,,,,,
grammar,5,A+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,4,,,,,,10,,,,,15,,
teaching english as a foreign language,5,TA+,"7-8, 9-12",,,,,,,,6,,,,,,,,,,,
higher education,5,TEA+,noK12,,,,,,,,,,,,,,,,,,,
calculus,5,STEM,"9-12, noK12",,,1,,,,,,,,,,,,,,,,
chemistry in the environment,5,SE,12-Sep,,,,2,,,,,,8,,,,,,,,,
genetics,5,S,"7-8, 9-12, noK12",,,,2,,,,,,8,,,,,,,,,
adult education,5,STEAM+,noK12,,,,,,,,,,,,,,,,,,,17
elementary writing,5,STEA+,noK12,,,,,,,,,,,,,,,,,15,,
inquiry based instruction,4,S,12-Sep,,,,,,,,,,,,,,,,,,,
